product_code,product_name,generic_name,barcode,sale_unit_name,retail_price,min_stock_qty,category_code,brand_code,drug_type
PVN4197,La hán quả - Kha tử,,8936122661374,Vỉ,15000,,,,1
PVN4196,Phagelvit Plus,,8938538811367,Vỉ,20000,,,,1
PVN4195,Rutin C Bcomplex,,8936107640592,Vỉ,30000,,,,1
PVN4194,Vitamin 20 B,,8938550446486,Vỉ,20000,,,,1
PVN4193,Prazopro - eso 40mg,,8935076043113,Vỉ,50000,,,,1
PVN4192,Climbazon 10g,,8938566698213,Tub,50000,,,,1
PVN4191,Bromelain,,8938566698176,Tub,30000,,,,1
PVN4190,Bổ phế vương 100ml,,8938566698329,Lọ,60000,,,,1
PVN4189,Aqua Calci S,,8936102640825,Lọ,200000,,,,1
PVN4188,Dạ dày zentac,,8936154549893,Vỉ,50000,,,,1
PVN4187,Co - Ceftam 800,,8936236230183,Vỉ,25000,,,,1
PVN4186,Viên đẹp da Collagen - Oxy,,8936243100011,Lọ,300000,,,,1
PVN4185,Melanov - M,,PVN4185,Vỉ,15000,,,,1
PVN4184,THcomet - GP2,,8934930004093,Vỉ,15000,,,,1
PVN4183,Indform 850,,PVN4183,Vỉ,30000,,,,1
PVN4182,An tràng Soha,,8938549594150,Lọ,150000,,,,1
PVN4181,Fluocide 15g,,8936192351335,Tub,25000,,,,1
PVN4180,B-Azole 10g,,8936192351151,Tub,20000,,,,1
PVN4179,Micoginal 4%,,8936192352134,Tub,100000,,,,1
PVN4178,NeuBiotic Her,,5060552881460,Lọ,350000,,,,1
PVN4177,Alphachymotrypsin BRV 8400,,8935338117026,Vỉ,15000,,,,1
PVN4176,Kem chống nắng Beplain + kyunglab,,PVN4176,Tub,310000,,,,1
PVN4175,Sẹo Stratasis 20g,,8938541668293,Tub,100000,,,,1
PVN4174,Nacl - Hadiphar,,8936036960105,Lọ,4000,,,,1
PVN4173,Live Nuze - thanh nhiệt,,8938515453641,Ống,5000,,,,1
PVN4172,Sâm nhung bổ thận - Tiểu đêm,,https://q.me-qr.com/jp98of4r,Hộp,400000,,,,1
PVN4171,Tinh dầu tràm khuynh diệp,,PVN4171,Lọ,50000,,,,1
PVN4170,Zondoril 5mg,,PVN4170,Vỉ,8000,,,,1
PVN4169,Ferrazo Kidwell,,8938546397211,Ống,7000,,,,1
PVN4168,Ginko 9000 - Úc,,PVN4168,Lọ,400000,,,,1
PVN4167,Kozo   Gold,,PVN4167,Lọ,150000,,,,1
PVN4166,Mucomyst - acetyl 200,,PVN4166,Gói,3000,,,,1
PVN4165,Evia Nauture - TPC,,PVN4165,Vỉ,50000,,,,1
PVN4164,Kem đánh răng Sachi TE,,PVN4164,Tub,40000,,,,1
PVN4163,Sultamicillin Tosylate,,PVN4163,Vỉ,35000,,,,1
PVN4162,Kem dưỡng ẩm Nipcare,,PVN4162,Tub,50000,,,,1
PVN4161,Etoricoxib 90mg,,8934907176037,Vỉ,40000,,,,1
PVN4160,Cagu,,8934940030907,Hộp,30000,,,,1
PVN4159,Bổ phế Nhất Nhất,,8936079382605,Lọ,70000,,,,1
PVN4158,Ferytonic TPC,,8934940033243,Hộp,100000,,,,1
PVN4157,SomNia -TPC,,8934940034486,Lọ,130000,,,,1
PVN4156,Ngủ ngon Rotunda 5+,,PVN4156,Vỉ,40000,,,,1
PVN4155,Plavix 75mg,,PVN4155,Vỉ,290000,,,,1
PVN4154,Ion Sports,,8938547966072,Gói,5000,,,,1
PVN4153,Pro Calcitrate D3K2,,8013710509604,Lọ,350000,,,,1
PVN4152,Kem chống nắng Youth,,PVN4152,Tub,120000,,,,1
PVN4151,Omega -E kids,,8936057520746,Lọ,150000,,,,1
PVN4150,Premum Care,,8938530785017,Lọ,250000,,,,1
PVN4149,Ferrogen - Ống,,8936198770970,Vỉ,40000,,,,1
PVN4148,Gạc rơ lưỡi Diệp An Nhi,,8936058822832,Gói,4000,,,,1
PVN4147,Vitamin C 1000 - Hàn,,8806012302161,Vỉ,30000,,,,1
PVN4146,Levofloxacin_ Terlev 500,,PVN4146,Vỉ,80000,,,,1
PVN4145,Chela Mag B6,,5901330025839,Vỉ,165000,,,,1
PVN4144,Oxy Min F,,8938554347291,Vỉ,35000,,,,1
PVN4143,Kem dưỡng ẩm Ziapa,,PVN4143,Tub,350000,,,,1
PVN4142,Ginkgo 120mg,,8936197661354,Vỉ,15000,,,,1
PVN4141,Merha cream,,8938566698084,Tub,35000,,,,1
PVN4140,Miếng dán lạnh đổi màu,,8938566698008,Gói,15000,,,,1
PVN4139,Sủi Actiso râu ngô - rau má,,8938548540219,Tub,30000,,,,1
PVN4138,Magnesium Bisglycinate,,625273036947,Lọ,550000,,,,1
PVN4137,Zin C - DHA,,8936061612017,Vỉ,30000,,,,1
PVN4136,Xịt NippiKid Nasal Wash,,8938554826048,Lọ,50000,,,,1
PVN4135,Zimega 3,,8936065624405,Lọ,230000,,,,1
PVN4134,Viên sủi Tiền Đình Daco,,8936226088268,Vỉ,30000,,,,1
PVN4133,Tăm bông Keiko Baby,,4538503970415,Lọ,33000,,,,1
PVN4132,Tăm bông Keiko người lơn,,8938505974439,Lọ,28000,,,,1
PVN4131,Viên ăn ngủ ngon - VĐ,,8936220581147,Vỉ,50000,,,,1
PVN4130,Goldbee - BC,,8935055500583,Hộp,25000,,,,1
PVN4129,Thanh ban nhiệt,,8936101981127,Hộp,90000,,,,1
PVN4128,Mát gan thanh nhiệt - Tâm Việt,,8936098710083,Hộp,70000,,,,1
PVN4127,Ích phế khang,,8936101981158,Gói,20000,,,,1
PVN4126,Miếng dán Chỉ thống,,6940746311869,Gói,25000,,,,1
PVN4125,Xịt Seasons 70ml,,PVN4125,Lọ,30000,,,,1
PVN4124,Xịt khoáng Olysee,,3520710008679,Chai,150000,,,,1
PVN4123,Nước tẩy trang Loreal 400ml,,PVN4123,Chai,220000,,,,1
PVN4122,Nước SM Dr Pavido,,8936204311012,Lọ,80000,,,,1
PVN4121,E Franplus,,8938554347918,Vỉ,50000,,,,1
PVN4120,Dạ dày Richer,,8936080700313,Hộp,60000,,,,1
PVN4119,Oxy Đại tràng Gold,,8938554347086,Vỉ,50000,,,,1
PVN4118,Ricgin Gold,,8936080700467,Hộp,200000,,,,1
PVN4117,Brain Ginko Coenzyl Q10,,PVN4117,Vỉ,15000,,,,1
PVN4116,Hoạt huyết tiền đình VPC,,PVN4116,Vỉ,50000,,,,1
PVN4115,Day slim,,766961418079,Lọ,850000,,,,1
PVN4114,Kẹo C gấu,,PVN4114,Lọ,10000,,,,1
PVN4113,Xịt họng Super Propolis,,8938547966737,Lọ,80000,,,,1
PVN4112,Citinas 500,,8938547966492,Vỉ,150000,,,,1
PVN4111,Long huyết Dr Th,,8938547966157,Vỉ,30000,,,,1
PVN4110,Vitamin 3B Careplus,,8938547966461,Vỉ,15000,,,,1
PVN4109,Khớp Extra,,PVN4109,Hộp,250000,,,,1
PVN4108,Kẹo ngậm Thảo mộc,,8938549361509,Vỉ,15000,,,,1
PVN4107,Sủi Dizzo,,PVN4107,Vỉ,20000,,,,1
PVN4106,3B Đông trùng - Oxy,,PVN4106,Vỉ,20000,,,,1
PVN4105,Ferol - oxy,,PVN4105,Lọ,200000,,,,1
PVN4104,Ric Gin Gold,,PVN4104,Hộp,200000,,,,1
PVN4103,Ginkgo,,8938530785086,Vỉ,12000,,,,1
PVN4102,Neurotech,,8935041001155,Vỉ,15000,,,,1
PVN4101,Esomeprazol 40,,8935076061919,Vỉ,50000,,,,1
PVN4100,Ho Thymus Sanfobee,,8938522981779,Lọ,50000,,,,1
PVN4099,Ginko Omega,,8936197661125,Vỉ,12000,,,,1
PVN4098,Aquamin Calci MK7,,8936203428711,Hộp,150000,,,,1
PVN4097,Zin - Kengold,,8936203428902,Hộp,150000,,,,1
PVN4096,Nhuộm tóc Brown,,PVN4096,Gói,25000,,,,1
PVN4094,Decolgen ND xanh,,8936022471899,Vỉ,6000,,,,1
PVN4095,Decolgen ND xanh - Hộp,,PVN4095,Hộp,180000,,,,1
PVN4092,Ginko UK,,PVN4092,Lọ,450000,,,,1
PVN4091,Siro ăn ngon 200ml,,8936058821750,Lọ,120000,,,,1
PVN4090,Bổ tỳ P/H,,8936043880038,Lọ,40000,,,,1
PVN4089,Jasunny K,,8936065621473,Tub,25000,,,,1
PVN4088,Nozeytin xịt,,8936065621084,Lọ,90000,,,,1
PVN4087,B1 túi,,PVN4087,Gói,5000,,,,1
PVN4086,Giỏ + Trang trí,,PVN4086,Lần,50000,,,,1
PVN4085,Maldena - Trigy,,PVN4085,Vỉ,90000,,,,1
PVN4084,Thạch trái cây - Ích nhi,,8935092205878,Túi,12000,,,,1
PVN4083,Hapacol 325 Flu,,8935206015577,Gói,5000,,,,1
PVN4082,Lodegald - Des,,8936085784905,Vỉ,20000,,,,1
