supplier_code,supplier_name,tax_code,contact_name,phone,email,address,payment_terms
SUPN00103,Moviphar- CTy TNHH DP,,,02462912392,,Hà Nội,30
SUPN00102,Ninh TDv,,,,,TN,30
SUPN00101,Hoàng Đức,,,,,Hà Nội,30
SUPN00100,Dược Khoa,,,,,Hà Nội,30
SUPN00099,Hoài,,,0978522555,,TN,30
SUPN00098,Richer,,,,,"Quận Thanh Xuân, Hà Nội",30
SUPN00097,Merap,,,,,"Hưng Yên, VN",30
SUPN00096,Đội Quân,,,,,TN,30
SUPN00095,Hà Thanh,,,0963744567,,Quầy 441 Tầng 4 hapu,30
SUPN00094,Daco - Cty CP Tập đoàn DP Daco,,,0888996998,,"Quận TÂn Bình, TP HCM",30
SUPN00093,Oxy pharma,,,0975993889,,Hà Nội,30
SUPN00092,Duy Ly,,,0988797800,,Thái Nguyên,30
SUPN00091,yến,,,,,Thái Nguyên,30
SUPN00090,Novocare,,,,,Hà Nội,30
SUPN00089,Vịnh TDV,,,,,"Thái Nguyên, Thành phố Thái Nguyên, Thái Nguyên",30
SUPN00088,Huyền Tiên,,,,,Thái Nguyên,30
SUPN00087,Victory,,,,,HCM,30
SUPN00086,interphar,,,,,Hà Nội,30
SUPN00085,Thuý,,,0979093462,,Thái Nguyên,30
SUPN00084,Mỹ Phẩm,,,,,Thái Nguyên,30
SUPN00083,Cty Victory,,,,,Hà Nội,30
SUPN00082,CTy Dược Phẩm VPC 1,,,,,Hà Nội,30
SUPN00081,TH Pharma,,,,,Hà Nội,30
SUPN00080,Hoa Hà Nội,,,,,hà nội,30
SUPN00079,Hân Hân,,,,,HCM,30
SUPN00078,Kim Đô Liễu,,,,,Thái Nguyên,30
SUPN00077,Nacopha pharma,,,,,Thái Nguyên,30
SUPN00076,Tiến Hảo,,,,,Tn,30
SUPN00075,Hàng khuyến mại tự tích điểm,,,,,"sn 30, xuân hoà, thái nguyên",30
SUPN00074,Dược phẩm anpha,,,0162959506,,"Tân Tây Đô, Tân Lập, Đan Phượng, Hà Nội",30
SUPN00073,gigamed - cty TNHH dp,,,01800545446,,Hà Nội,30
SUPN00072,An Nhi - Cty TNHH Dược phẩm,,,,,"hà nội, VN",30
SUPN00071,Việt Sinh - Cty CPD Quốc tế Sinh,,,02466873535,,Hoàng Mai Hà Nội,30
SUPN00070,công ty Shabi group,,,,,"Lô  16-17-18 đường Nguyễn Như Quế, TDP Vân Quan, phường Đa Phúc, quận Dương Kính, tp Hải Phòng",30
SUPN00069,Dược Đức Phát,,,,,"số 27 cầu Treo, thị trấn Yên Mỹ, Huyện Yên Mỹ, tỉnh Hưng Yên",30
SUPN00068,Hàng lẻ,,,,,hà nội,30
SUPN00067,trung ương 1,,,,,"160 Tôn Đức Thắng, Đống Đa Hà Nội",30
SUPN00066,ampharco U.S.A,,,,,"KCN Nhơn Trạch 3, Thị trấn Hiệp Phước, huyện Nhơn Trạch, Đồng Nai",30
SUPN00065,Fobic,,,,,"Lô TT09, Nam Đô Complex, 609 Trung Định, Thịnh Liệt, Hoàng Mai, Hà Nội",30
