product_key,batch_number,expiry_date,quantity,unit_cost
PVN4191,TON-DAU-SAPO,2030-12-31,2,22514.705
PVN4190,TON-DAU-SAPO,2030-12-31,3,45000
PVN4177,TON-DAU-SAPO,2030-12-31,33,5500
PVN4174,TON-DAU-SAPO,2030-12-31,39,2500
PVN4173,TON-DAU-SAPO,2030-12-31,20,3250
PVN4151,TON-DAU-SAPO,2030-12-31,1,60000
PVN4141,TON-DAU-SAPO,2030-12-31,2,24300
PVN4140,TON-DAU-SAPO,2030-12-31,6,11785
PVN4139,TON-DAU-SAPO,2030-12-31,9,14000
PVN4137,TON-DAU-SAPO,2030-12-31,42,11500
PVN4130,TON-DAU-SAPO,2030-12-31,11,20400
PVN4129,TON-DAU-SAPO,2030-12-31,1,60000
PVN4121,TON-DAU-SAPO,2030-12-31,6,35000
PVN4119,TON-DAU-SAPO,2030-12-31,6,36267.9735
PVN4117,TON-DAU-SAPO,2030-12-31,10,8390.323
PVN4116,TON-DAU-SAPO,2030-12-31,2,32300
PVN4110,TON-DAU-SAPO,2030-12-31,28,6000
PVN4109,TON-DAU-SAPO,2030-12-31,2,125000
PVN4108,TON-DAU-SAPO,2030-12-31,12,8800
PVN4106,TON-DAU-SAPO,2030-12-31,8,12656.25
PVN4105,TON-DAU-SAPO,2030-12-31,2,107812.5
PVN4102,TON-DAU-SAPO,2030-12-31,6,7833
PVN4099,TON-DAU-SAPO,2030-12-31,10,0
PVN4094,TON-DAU-SAPO,2030-12-31,42,4436.7393
PVN4095,TON-DAU-SAPO,2030-12-31,1.4,128000
PVN4089,TON-DAU-SAPO,2030-12-31,2,14037.529
PVN4084,TON-DAU-SAPO,2030-12-31,5,10000
PVN4079,TON-DAU-SAPO,2030-12-31,10,43287.037
PVN4075,TON-DAU-SAPO,2030-12-31,20,7550
PVN4070,TON-DAU-SAPO,2030-12-31,1,249635.137
PVN4069,TON-DAU-SAPO,2030-12-31,1,8700
PVN4066,TON-DAU-SAPO,2030-12-31,2,108333.3335
PVN4065,TON-DAU-SAPO,2030-12-31,5,20000
PVN4064,TON-DAU-SAPO,2030-12-31,20,5500
PVN4058,TON-DAU-SAPO,2030-12-31,13,0
